id,sumatrisk,sumcases,sumdeaths,sumdestroyed,sumslaughtered
230399,248000,12,12,50000,0
230381,122,6,1,0,0
230333,1283,112,0,,7
230396,,1,1,0,0
230371,,1,1,,
230370,,1,1,,
230395,34,19,19,0,0
230367,2,2,2,0,0
230379,4000,1600,0,4000,0
230394,62,5,5,0,0
230380,8,1,1,7,0
230378,25,4,1,24,0
230377,19,5,5,14,0
230397,266,81,81,135,0
230369,,1,1,,
230368,50,4,0,0,0
230334,,2,2,,
230332,1047,127,,,
230305,6614,64,64,1005,0
230376,36,5,2,34,0
230375,1,1,0,1,0
230374,28,4,2,26,0
230308,,1,1,0,0
230306,11,11,11,0,0
230289,1071,22,0,0,0
230288,1176,33,0,0,0
230383,132,11,0,0,0
230382,1505,1,0,0,0
230373,21,12,4,17,0
230307,,1,0,1,0
230287,7680,7680,,,
230304,37,1,1,36,0
230290,326764,975,975,325789,0
230372,141,5,0,141,0
230275,1,1,1,,
230303,2,1,1,1,0
230302,29,1,1,28,0
230284,18000,18000,,,
230283,31700,31700,,,
230282,45000,45000,,,
230281,30000,1774,1774,,
230280,77000,236,236,4800,0
230331,2265,37,0,,6
230330,1500,16,,,
230301,,1,,,
230300,9,1,1,8,0
230299,,1,1,,
230286,3064,2100,2100,,
230285,64,21,21,43,0
230298,20,1,1,19,0
230297,47,1,1,46,0
230292,81500,35000,15000,66500,
230273,24738,4900,1800,,
230272,5642,1241,1241,4401,0
230271,,10,10,,
230184,398723,301,301,0,0
230242,1,1,,,
230241,1,1,,,1
230240,1,1,,,
230239,1,1,,,
230238,1,1,,,
230254,12,2,1,1,0
230233,11,1,1,10,0
230226,2,1,1,,
230225,37,4,4,2,
230173,,35000,15000,66500,
230270,1,1,,,
230253,4502,2,2,,
230237,1,1,,,
230232,65,21,4,61,0
230224,3,3,,,
230223,2,2,,,
230204,2,2,0,0,0
230203,1,1,0,0,0
230202,2,1,0,0,0
230201,3,1,0,0,0
230200,2,1,0,0,0
230199,2,1,0,0,0
230198,1,1,0,0,0
230197,500,15,0,0,0
230186,123463,123463,2537,0,0
230170,3,,1,2,0
230169,4,1,1,3,0
230157,,,,,
230329,1583,251,0,,11
230328,445,27,,,
230279,,1,1,,
230269,1,1,,,
230268,1,1,,,
230252,7,3,1,,
230231,36,9,1,35,0
230230,7,7,5,2,0
230191,12200,2800,120,12080,
229632,,,,,
230327,439,116,0,,
230326,2285,67,0,,15
230251,12,3,3,9,0
230236,1,1,,,
230235,1,1,,,
230234,1,1,,,
230229,17,8,2,15,0
230228,25,12,0,25,0
230274,190000,36485,36485,,
230227,1905,46,20,1885,0
230222,2,2,0,,
230221,2,2,0,,
230188,600,87,87,413,0
229639,,1,1,,
229616,,1,1,,
229603,18722,1680,1680,17042,
230265,134,1,,,
230250,4,1,1,3,0
230249,13,1,1,12,0
230220,3,3,,,
230219,4,1,1,,
230190,17724,3120,1000,16724,
230171,25,6,6,19,0
229615,,1,1,,
229614,,1,1,,
230325,1949,150,0,,10
230324,830,15,,,
230323,1341,176,,,
230293,,5,1,,
230267,1,1,,,
230264,160,1,,,
230261,49,1,0,1,0
230187,135,50,50,85,0
230166,,1,1,,
229645,,1,1,,
229644,,1,1,,
229643,,1,1,,
229642,,1,1,,
229613,,1,1,,
229605,,1,1,,
230195,195,5,0,195,0
230189,460000,460000,5000,,
230165,,1,1,,
229612,,1,1,,
229611,,1,1,,
229610,,1,1,,
229609,,1,1,,
229608,,1,1,,
229607,,1,1,,
229606,,1,1,,
229604,,1,1,,
229482,25,11,9,0,0
230248,61,5,5,56,0
230247,9,1,1,,
230168,9,2,0,2,0
229640,,1,1,,
229415,14,3,3,11,
229408,2,1,1,1,
229407,17,1,1,16,
229406,27,8,1,26,
229400,3,3,3,0,0
229399,20560,18871,1689,,
229385,12,1,1,11,0
229384,,1,1,,
230263,198,1,,,
230246,214,27,19,10,0
230192,81,1,0,81,0
229641,,1,1,,
229638,,2,2,,
229637,,1,1,,
229412,2,1,1,,
229405,30,2,1,29,
229404,16,5,3,13,
230262,3,1,,,
230245,,1,,,
229636,,1,1,,
229411,2,2,1,,
229344,32,10,4,28,
229337,,1,1,,
229336,,1,1,,
229335,,1,1,,
229334,,1,1,,
229333,,1,1,,
229332,,1,1,,
229331,,1,1,,
229330,,1,1,,
229329,,1,1,,
229328,,1,1,,
229327,,1,1,,
230244,58,3,1,,
230146,25555,5440,5440,20115,0
229478,3,1,0,0,0
229466,,8,0,0,0
229410,139,2,2,,
230243,3,1,,,
229635,,1,1,,
229370,268,3,0,3,0
