id,latitude,longitude,region,country,admin1,localityname,localityquality,observationdate,reportingdate,status,disease,serotypes,speciesdescription,source
230399,-27.9,30.8,Africa,South Africa,KwaZulu-Natal,HPAI_H5N8_2017_019,Exact,17/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,unspecified bird,OIE
230381,54.837037,73.354155,Europe,Russian Federation,Omskaya Oblast,Novaya Stanica,Exact,16/08/2017,18/08/2017,Confirmed,African swine fever,,swine,OIE
230333,-21.07774,30.21162,Africa,Zimbabwe,Masvingo,Mwambe,Exact,16/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,cattle,OIE
230396,-26,28.3,Africa,South Africa,Gauteng,HPAI_H5N8_2017_020,Exact,15/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,unspecified bird,OIE
230371,49.2379,17.7002,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,15/08/2017,17/08/2017,Confirmed,African swine fever,,wild boar,OIE
230370,49.2373,17.7008,Europe,Czech Republic,Jihomoravsky,Ostrata,Exact,15/08/2017,17/08/2017,Confirmed,African swine fever,,wild boar,OIE
230395,-26,28.3,Africa,South Africa,Gauteng,HPAI_H5N8_2017_021,Exact,14/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,goose,OIE
230367,47.771608,33.993286,Europe,Ukraine,Dnipropetrovs'ka,Slovyanka,Exact,14/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230379,56.538381,16.119304,Europe,Sweden,Kalmar Laen,Kalmar,Exact,13/08/2017,18/08/2017,Confirmed,Newcastle disease,APMV-I,chicken,OIE
230394,-24.6,27.2,Africa,South Africa,Limpopo,HPAI_H5N8_2017_022,Exact,12/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,unspecified bird,OIE
230380,55.456034,72.762834,Europe,Russian Federation,Omskaya Oblast,Tavrichanka,Exact,12/08/2017,18/08/2017,Confirmed,African swine fever,,swine,OIE
230378,52.08446,23.080818,Europe,Poland,Lubeiskie,Terebela,Exact,12/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230377,53.644444,22.605556,Europe,Poland,Podlaskie,Pienczykowek,Exact,12/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230397,-26.8,29.8,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_018,Exact,11/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,unspecified bird,OIE
230369,49.2373,17.6999,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,11/08/2017,17/08/2017,Confirmed,African swine fever,,wild boar,OIE
230368,32.143211,34.842794,Asia,Israel,Tel Aviv,Hakfar Hayarok,Exact,10/08/2017,17/08/2017,Confirmed,Influenza - Equine,H3N8,equidae,OIE
230334,46.78,6.64,Europe,Switzerland,Vaud,Lac de Neuch tel,Exact,10/08/2017,17/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",OIE
230332,-21.25566,31.5248,Africa,Zimbabwe,Masvingo,Chipfugwana,Exact,10/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,cattle,OIE
230305,49.849592,26.435108,Europe,Ukraine,Khmel'nyts'ka,Korovye,Exact,10/08/2017,14/08/2017,Confirmed,African swine fever,,swine,OIE
230376,51.928458,22.712944,Europe,Poland,Lubeiskie,Grabowiec,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230375,51.655215,23.268335,Europe,Poland,Lubeiskie,Mosty,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230374,51.821846,23.55278,Europe,Poland,Lubeiskie,Krzywowolka,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,swine,OIE
230308,56.71753,24.32933,Europe,Latvia,Rigas,Baldones caounty,Exact,09/08/2017,15/08/2017,Confirmed,African swine fever,,wild boar,OIE
230306,48.361742,22.666549,Europe,Ukraine,Zakarpats'ka,Nyzhniy Koropets,Exact,09/08/2017,14/08/2017,Confirmed,African swine fever,,swine,OIE
